Date,Adj Close,Close,High,Low,Open,Volume,MA7,MA30
2024-01-02,139.21810913085938,139.55999755859375,140.61500549316406,137.74000549316406,139.60000610351562,20071900,,
2024-01-03,140.01614379882812,140.36000061035156,141.08999633789062,138.42999267578125,138.60000610351562,18974300,,
2024-01-04,137.7018280029297,138.0399932861328,140.63499450683594,138.00999450683594,139.85000610351562,18253300,,
2024-01-05,137.0534210205078,137.38999938964844,138.80999755859375,136.85000610351562,138.3520050048828,15433200,,
2024-01-08,140.1857147216797,140.52999877929688,140.63999938964844,137.8800048828125,138.0,17645300,,
2024-01-09,142.21075439453125,142.55999755859375,142.8000030517578,139.7899932861328,140.05999755859375,19579700,,
2024-01-10,143.44772338867188,143.8000030517578,144.52499389648438,142.4600067138672,142.52000427246094,16641900,140.31999860491072,
2024-01-11,143.3180389404297,143.6699981689453,146.66000366210938,142.21499633789062,144.89500427246094,17471100,140.90714154924666,
2024-01-12,143.8866424560547,144.24000549316406,144.74000549316406,143.36000061035156,144.33999633789062,13995200,141.46142796107702,
2024-01-16,143.72703552246094,144.0800018310547,145.83999633789062,143.05599975585938,143.42999267578125,19198900,142.32428632463728,
2024-01-17,142.53994750976562,142.88999938964844,143.41000366210938,140.50999450683594,142.91000366210938,17884500,143.11000061035156,
2024-01-18,144.6348114013672,144.99000549316406,145.5850067138672,143.35000610351562,143.44000244140625,18876800,143.7471444266183,
2024-01-19,147.6074981689453,147.97000122070312,148.0399932861328,145.8000030517578,146.30499267578125,27170900,144.52000209263392,
2024-01-22,147.34814453125,147.7100067138672,150.01499938964844,147.5800018310547,148.7100067138672,21829200,145.07857404436385,
2024-01-23,148.3157501220703,148.67999267578125,148.86000061035156,147.19000244140625,147.72000122070312,14113600,145.7942875453404,
2024-01-24,149.98167419433594,150.35000610351562,151.57000732421875,149.83999633789062,150.2899932861328,19245000,146.66714477539062,
2024-01-25,153.26361083984375,153.63999938964844,154.75999450683594,151.22000122070312,151.74000549316406,21495100,148.0328587123326,
2024-01-26,153.41323852539062,153.7899932861328,154.11000061035156,152.8000030517578,152.8699951171875,19494500,149.59000069754464,
2024-01-29,154.46067810058594,154.83999633789062,155.1999969482422,152.9199981689453,153.63999938964844,20909300,150.9971422467913,
2024-01-30,152.67506408691406,153.0500030517578,155.0399932861328,152.77499389648438,154.00999450683594,26578900,151.72285679408483,
2024-01-31,141.45262145996094,141.8000030517578,145.58999633789062,141.5500030517578,145.38999938964844,43908600,150.87857055664062,
2024-02-01,142.3603973388672,142.7100067138672,144.6199951171875,142.25999450683594,143.69000244140625,25526900,150.02571541922433,
2024-02-02,143.18833923339844,143.5399932861328,143.8800048828125,138.1699981689453,140.88999938964844,42116900,149.0528564453125,
2024-02-05,144.57493591308594,144.92999267578125,146.6699981689453,143.91000366210938,144.0399932861328,29254400,147.8085697719029,
2024-02-06,145.05377197265625,145.41000366210938,146.74000549316406,144.52000427246094,145.9600067138672,21517700,146.6114283970424,
2024-02-07,146.32066345214844,146.67999267578125,147.0,145.2100067138672,146.1199951171875,21436100,145.44571358816964,
2024-02-08,146.85934448242188,147.22000122070312,147.61000061035156,146.4199981689453,146.97000122070312,18241300,144.61285618373327,
2024-02-09,149.85198974609375,150.22000122070312,150.69500732421875,147.42999267578125,147.9499969482422,21877700,145.81571306501115,
2024-02-12,148.36563110351562,148.72999572753906,150.58999633789062,148.55999755859375,149.5399932861328,17236100,146.67571149553572,
2024-02-13,146.01141357421875,146.3699951171875,148.0399932861328,145.11000061035156,146.07000732421875,18138500,147.07999747140067,145.65833282470703
2024-02-14,146.779541015625,147.13999938964844,147.8300018310547,145.55499267578125,147.3699951171875,16651800,147.39571271623885,145.91099955240887
2024-02-15,143.58738708496094,143.94000244140625,144.75999450683594,141.8800048828125,144.4600067138672,26724300,147.18571254185267,146.03033294677735
2024-02-16,141.41270446777344,141.75999450683594,144.47999572753906,141.52000427246094,144.2100067138672,21849700,146.48285566057478,146.15433298746746
2024-02-20,141.8516387939453,142.1999969482422,143.32899475097656,140.8000030517578,140.94000244140625,18625600,145.76571219308036,146.31466623942057
2024-02-21,143.48760986328125,143.83999633789062,143.97999572753906,141.91000366210938,142.63999938964844,16499600,144.85428292410714,146.4249994913737
2024-02-22,144.96400451660156,145.32000732421875,146.1999969482422,144.00999450683594,146.1199951171875,23024700,144.3671417236328,146.51699981689453
2024-02-23,144.93405151367188,145.2899932861328,145.9550018310547,144.7899932861328,144.97000122070312,14519400,144.21285574776786,146.56666615804036
2024-02-26,138.41009521484375,138.75,143.83999633789062,138.74000549316406,143.4499969482422,33513000,143.01428440638952,146.4026662190755
2024-02-27,139.7567901611328,140.10000610351562,140.49000549316406,138.5,139.41000366210938,22364000,142.46571350097656,146.26466623942056
2024-02-28,137.09332275390625,137.42999267578125,139.27999877929688,136.63999938964844,139.10000610351562,30628700,141.8471418108259,146.04299926757812
2024-02-29,139.43756103515625,139.77999877929688,139.9499969482422,137.57000732421875,138.35000610351562,35485000,141.50142778669084,145.9393325805664
2024-03-01,137.7417449951172,138.0800018310547,140.0,137.97500610351562,139.61000061035156,28522000,140.67857142857142,145.70899912516276
2024-03-04,133.87123107910156,134.1999969482422,136.6300048828125,132.86000061035156,136.5399932861328,43571500,139.08999851771765,145.2499989827474
2024-03-05,133.4522705078125,133.77999877929688,134.02000427246094,131.5500030517578,132.74000549316406,28447600,137.44571358816964,144.7856653849284
2024-03-06,132.23524475097656,132.55999755859375,134.74000549316406,131.9499969482422,134.24000549316406,23175200,136.5614275251116,144.24833221435546
2024-03-07,134.90869140625,135.24000549316406,135.82000732421875,132.66000366210938,133.88999938964844,24107300,135.8671417236328,143.74466552734376
2024-03-08,135.95611572265625,136.2899932861328,138.98500061035156,134.8000030517578,135.03500366210938,26472400,135.70428466796875,143.16633199055988
2024-03-11,138.59962463378906,138.94000244140625,139.97999572753906,137.07000732421875,137.07000732421875,22536400,135.58428519112724,142.67133229573568
2024-03-12,139.2779541015625,139.6199951171875,140.27999877929688,138.2100067138672,138.25,19019700,135.80428423200334,142.16399892171225
2024-03-13,140.42515563964844,140.77000427246094,142.19000244140625,140.00999450683594,140.05999755859375,19637000,136.74285670689173,141.75466562906902
2024-03-14,143.98638916015625,144.33999633789062,144.72999572753906,141.48500061035156,142.3000030517578,36117900,138.25142778669084,141.8393320719401
2024-03-15,141.8217010498047,142.1699981689453,144.33999633789062,141.1300048828125,143.41000366210938,41025900,139.62428501674108,141.8213317871094
2024-03-18,148.1162567138672,148.47999572753906,152.92999267578125,148.13999938964844,149.3699951171875,47676700,141.51571219308036,141.98599853515626
2024-03-19,147.55763244628906,147.9199981689453,149.6199951171875,147.00999450683594,148.97999572753906,17748400,143.17714146205358,142.08566538492838
2024-03-20,149.3133087158203,149.67999267578125,149.75999450683594,147.6649932861328,148.7899932861328,17730000,144.71142578125,142.22799835205078
2024-03-21,148.37562561035156,148.74000549316406,151.30499267578125,148.00999450683594,150.32000732421875,19843900,146.01428440638952,142.29666544596355
2024-03-22,151.398193359375,151.77000427246094,152.55999755859375,150.08999633789062,150.24000549316406,19226300,147.58571297781808,142.44833221435547
2024-03-25,150.77969360351562,151.14999389648438,151.45599365234375,148.8000030517578,150.9499969482422,15114700,148.5585697719029,142.47933197021484
2024-03-26,151.32835388183594,151.6999969482422,153.1999969482422,151.02999877929688,151.24000549316406,19312700,149.9199981689453,142.57833201090494
2024-03-27,151.56777954101562,151.94000244140625,152.69000244140625,150.1300048828125,152.14500427246094,16622000,150.4142848423549,142.76399892171224
2024-03-28,151.88699340820312,152.25999450683594,152.6699981689453,151.3300018310547,152.0,21105600,151.03428431919642,142.93466542561848
2024-04-01,156.11660766601562,156.5,157.0,151.64999389648438,151.8300018310547,24469800,152.0085710797991,143.35333201090495
2024-04-02,155.48814392089844,155.8699951171875,155.99000549316406,153.4600067138672,154.75,17598100,153.02714102608817,143.82366536458332
2024-04-03,155.98692321777344,156.3699951171875,156.5500030517578,154.1320037841797,154.9199981689453,17266200,153.68428257533483,144.2959986368815
2024-04-04,151.56777954101562,151.94000244140625,156.17999267578125,151.8800048828125,155.0800018310547,24184800,153.7971409388951,144.56599884033204
2024-04-05,153.56288146972656,153.94000244140625,154.83999633789062,151.08099365234375,151.67999267578125,16289800,154.1171417236328,144.85333201090495
2024-04-08,155.7574920654297,156.13999938964844,156.65499877929688,153.99000549316406,154.01499938964844,16641500,154.7171412876674,145.21499888102213
2024-04-09,157.75257873535156,158.13999938964844,159.88999938964844,156.63999938964844,157.35000610351562,21538100,155.55714198521204,145.86133219401043
2024-04-10,157.27377319335938,157.66000366210938,158.16000366210938,156.1999969482422,157.8800048828125,16339200,155.72285679408483,146.44666544596353
2024-04-11,160.39608764648438,160.7899932861328,161.1199951171875,157.92999267578125,158.33999633789062,17841700,156.42571367536272,147.22533213297527
2024-04-12,158.80001831054688,159.19000244140625,161.6999969482422,158.60000610351562,159.40499877929688,16968200,156.82857186453683,147.87233225504556
2024-04-15,155.947021484375,156.3300018310547,160.8300018310547,156.14999389648438,160.27999877929688,21140900,157.4557146344866,148.4806655883789
2024-04-16,155.61782836914062,156.0,157.22999572753906,155.0500030517578,155.63999938964844,15413200,157.75,149.20733235677082
2024-04-17,156.4956817626953,156.8800048828125,158.68099975585938,156.13499450683594,157.19000244140625,16237800,157.85571507045202,149.97733256022136
2024-04-18,157.0742645263672,157.4600067138672,158.48500061035156,156.2100067138672,156.9250030517578,14016100,157.7585732596261,150.80733286539714
2024-04-19,155.33851623535156,155.72000122070312,157.99000549316406,153.91000366210938,157.75,20063900,157.48143005371094,151.48999938964843
2024-04-22,157.56304931640625,157.9499969482422,159.18499755859375,155.66000366210938,156.00999450683594,17243900,157.07571629115515,152.21199951171874
2024-04-23,159.52822875976562,159.9199981689453,160.47999572753906,157.96499633789062,158.58999633789062,16115400,157.18000139508928,152.9113327026367
2024-04-24,160.70533752441406,161.10000610351562,161.38999938964844,158.82000732421875,159.08999633789062,19485700,157.86143057686942,153.62733306884766
2024-04-25,157.56304931640625,157.9499969482422,158.27999877929688,152.76800537109375,153.36000061035156,36197800,158.14000156947546,154.1999994913737
2024-04-26,173.26449584960938,173.69000244140625,176.4199981689453,171.39999389648438,175.99000549316406,56500800,160.5414297921317,155.17833302815754
2024-04-29,167.48866271972656,167.89999389648438,171.3800048828125,167.05999755859375,170.77000427246094,35914600,162.03285653250558,156.03599955240887
2024-04-30,164.23666381835938,164.63999938964844,169.8699951171875,164.5,167.3800048828125,29420800,163.30714198521204,156.57466634114584
2024-05-01,165.16439819335938,165.57000732421875,168.80999755859375,164.89999389648438,166.17999267578125,25223200,164.39571489606584,157.16299997965496
2024-05-02,168.0473175048828,168.4600067138672,168.52999877929688,165.69000244140625,166.6699981689453,17041100,165.61571611676897,157.78900044759115
2024-05-03,168.5760040283203,168.99000549316406,169.85000610351562,164.97999572753906,169.5399932861328,22767100,166.74285888671875,158.46400044759113
2024-05-06,169.41395568847656,169.8300018310547,169.89999389648438,167.88999938964844,169.22000122070312,15147900,168.44000244140625,159.06600036621094
2024-05-07,172.5562286376953,172.97999572753906,173.47000122070312,170.0,170.1199951171875,21102400,168.3385729108538,159.79366709391277
2024-05-08,170.74069213867188,171.16000366210938,171.90899658203125,170.52200317382812,170.75,14569900,168.80428859165735,160.442333984375
2024-05-09,171.15965270996094,171.5800018310547,172.44000244140625,169.92999267578125,171.14999389648438,11937700,169.79571751185827,161.0970006306966
2024-05-10,169.872802734375,170.2899932861328,171.33999633789062,167.91000366210938,169.69000244140625,18740500,170.47000122070312,161.6980005900065
2024-05-13,170.4813232421875,170.89999389648438,170.9499969482422,165.75999450683594,165.8470001220703,19648600,170.81857081821985,162.178000386556
2024-05-14,171.5087890625,171.92999267578125,172.77999877929688,170.4199981689453,171.58999633789062,18729500,171.23856898716517,162.7133336385091
2024-05-15,173.4540252685547,173.8800048828125,174.04600524902344,172.02999877929688,172.3000030517578,20958200,171.81714085170202,163.2970006306966
2024-05-16,175.00022888183594,175.42999267578125,176.33999633789062,174.0500030517578,174.60000610351562,17247300,172.1671404157366,164.0800003051758
2024-05-17,176.8556671142578,177.2899932861328,177.4949951171875,174.97999572753906,175.5500030517578,16546400,173.04285321916853,164.85833333333332
2024-05-20,178.0228271484375,178.4600067138672,179.9499969482422,177.22500610351562,177.30999755859375,17495100,174.0257110595703,165.60233357747396
2024-05-21,179.10015869140625,179.5399932861328,179.82000732421875,177.30999755859375,178.39999389648438,14706000,175.3471396309989,166.31566670735677
2024-05-22,177.56393432617188,178.0,178.8520050048828,176.77999877929688,178.39999389648438,16189400,176.3614262172154,166.99366658528646
2024-05-23,174.63113403320312,175.05999755859375,179.91000366210938,174.5399932861328,178.77999877929688,14928400,176.8085697719029,167.46933339436848
2024-05-24,175.8980255126953,176.3300018310547,177.3040008544922,175.1999969482422,176.52000427246094,11400600,177.1585693359375,168.04066670735676
2024-05-28,177.58387756347656,178.02000427246094,178.50999450683594,175.67999267578125,175.74000549316406,15655300,177.52857099260603,168.76366678873697
2024-05-29,176.96539306640625,177.39999389648438,178.22999572753906,176.25999450683594,176.80999755859375,15023800,177.5442853655134,169.47699991861978
2024-05-30,173.1348114013672,173.55999755859375,176.69000244140625,173.22999572753906,176.69000244140625,18844000,176.8442840576172,170.03299967447916
2024-05-31,173.53382873535156,173.9600067138672,174.4199981689453,170.97000122070312,173.39999389648438,28085200,176.0471431187221,170.58299967447917
2024-06-03,173.99270629882812,174.4199981689453,175.86000061035156,172.4499969482422,173.8800048828125,20742800,175.53571428571428,171.20633290608723
2024-06-04,174.70095825195312,175.1300048828125,175.19000244140625,173.22000122070312,174.4499969482422,14066600,175.54571533203125,171.77899983723958
2024-06-05,176.63621520996094,177.07000732421875,177.97000122070312,175.2899932861328,176.53500366210938,15233900,175.65143040248327,172.35066680908204
2024-06-06,177.9130859375,178.35000610351562,178.7100067138672,177.2100067138672,177.42999267578125,14255800,175.69857352120536,172.92566680908203
2024-06-07,175.51895141601562,175.9499969482422,179.4199981689453,175.7899932861328,178.4600067138672,14716300,175.4914311000279,173.52566680908203
2024-06-10,176.39779663085938,176.6300048828125,178.47000122070312,174.3800048828125,176.4499969482422,17122200,175.9300035749163,173.62366689046223
2024-06-11,177.95574951171875,178.19000244140625,178.38999938964844,175.44000244140625,177.72000122070312,14402400,176.53428867885046,173.96666717529297
2024-06-12,179.32394409179688,179.55999755859375,182.0800018310547,177.77999877929688,179.75,18600400,177.26857430594308,174.46400044759113
2024-06-13,176.50765991210938,176.74000549316406,178.50999450683594,176.66000366210938,177.83999633789062,15956900,177.49857439313615,174.83633371988932
2024-06-14,178.135498046875,178.3699951171875,178.72999572753906,175.8520050048828,175.8520050048828,12361600,177.68428693498885,175.16666666666666
2024-06-17,178.5449676513672,178.77999877929688,179.9199981689453,176.49000549316406,176.97999572753906,15272900,177.74571446010046,175.4929997762044
2024-06-18,176.21803283691406,176.4499969482422,178.91000366210938,175.6199951171875,178.7899932861328,15640300,177.817143031529,175.7136662801107
2024-06-20,177.47637939453125,177.7100067138672,178.74000549316406,176.4600067138672,176.7100067138672,16753200,177.97142900739397,175.87133331298827
